المجموعة الرئيسية ,Main Category ,مجموعة الذكر Sub Category,مجموعة الذكر EN,الذكر بالعربي,EN,EN-letters,Count ,فضل الذكر AR,فضل الذكر EN,تخريج الحديث,تخريج الحديث EN
أذكار المساء,Evining Zikr,أذكار المساء,Evining Zikr,بِسـمِ اللهِ الذي لا يَضُـرُّ مَعَ اسمِـهِ شَيءٌ في الأرْضِ وَلا في السّمـاءِ وَهـوَ السّمـيعُ العَلـيم.,"In the name of Allah with whose name nothing is harmed on earth nor in the heavens and He is The All-Seeing, The All-Knowing.","Bismillah hil’lazee la yadur’oo ma’aas-mihi shai-oon fil-ardi wa’laa fis-samaa;
Wa’hu’waas samee’ool aa’leem.",3,"من قالها لم يضره من الله شيء.
","Whoever recites this Dua, nothing will harm him","رواه الترمذي وصححه الألباني
",Al-Tirmidhi
أذكار المساء,Evining Zikr,أذكار المساء,Evining Zikr,اللّهُـمَّ بِكَ أَمْسَـينا وَبِكَ أَصْـبَحْنا، وَبِكَ نَحْـيا وَبِكَ نَمُـوتُ وَإِلَـيْكَ الْمَصِيرُ.,"O Allah, by Your leave we have reached the evening and by Your leave we have reached the morning, by Your leave we live and die and unto You is our return.","Allahumma bika amsaina;
Wa’bika asbahna;
Wa’bika nahya;
Wa’bika namooth;
Wa’ilay’kaal maser.",1,"كان رَسُولُ اللَّهِ صلى الله عليه وسلم يُعَلِّمُ أَصْحَابَهُ قولها كل صباح ومساء
",The Messenger ﷺ taught his companions to recite this Dua in evening and morning,رواه الترمذي وصحَّحه الألباني,Al-Tirmidhi
أذكار المساء,Evining Zikr,أذكار المساء,Evining Zikr,أَمْسَيْنَا عَلَى فِطْرَةِ الإسْلاَمِ، وَعَلَى كَلِمَةِ الإِخْلاَصِ، وَعَلَى دِينِ نَبِيِّنَا مُحَمَّدٍ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ، وَعَلَى مِلَّةِ أَبِينَا إبْرَاهِيمَ حَنِيفاً مُسْلِماً وَمَا كَانَ مِنَ المُشْرِكِينَ.,"We have reached the evening upon the fitrah of Al-Islam, and the word of pure faith, and upon the religion of our Prophet Muhammad and the religion of our forefather Ibrahim, who was a Muslim and of true faith and was not of those who associate others with Allah.","Aamsaina ala fitratil-islam;
Wa’ala kalimatil-ikhlas;
Wa’ala deeni nabi’yyina Muhammadin sallalla-hu alai’hi wasallam;
Wa’ala millati abeena Ibrahima hanee’faan muslimah;
Waama kana minal-mushrikeen.",1,"كانَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَقُولُها إِذَا أَمسى
",Allah's Messenger peace and blessing be upon him used to say it in the evening,"رواه أحمد وصححه الأرناؤوط
",Imam Ahmed
أذكار المساء,Evining Zikr,أذكار المساء,Evining Zikr,"اللّهُـمَّ عافِـني في بَدَنـي،
اللّهُـمَّ عافِـني في سَمْـعي،
اللّهُـمَّ عافِـني في بَصَـري،
لا إلهَ إلاّ اللّه أَنْـتَ.
اللّهُـمَّ إِنّـي أَعـوذُبِكَ مِنَ الْكُـفر، وَالفَـقْر،
وَأَعـوذُ بِكَ مِنْ عَذابِ القَـبْر،
لا إلهَ إلاّ أَنْـتَ.","O Allah, grant my body health, O Allah, grant my hearing health, O Allah, grant my sight health. None has the right to be worshipped except You, O Allah, I take refuge with You from disbelief and poverty, and I take refuge with You from the punishment of the grave. None has the right to be worshipped except You.","Allahumma aa’fi-nee fee bada’nee;
Allahumma aa’fi-nee fee sam’ee;
Allahumma aa’fi-nee fee basa’ree;
La ilaha illa-ant;
Allahumma innee aa’oozu-bika minal-kufri wal-faqr;
Wa’aa’oo-zu-bika min aa’zaa-bil-qabr;
La ilaha illa-ant.",3,"عن  أَبِي بَكْرَة أنه سَمِعْ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَدْعُو بِهِنَّ

","Abu Bakrah-May Allah be pleased with him-  would recite this Dua every morning and evening as he heard the Prophet ﷺ reciting it.
","
أبو داوود",Abu Dawood 
أذكار المساء,Evining Zikr,أذكار المساء,Evining Zikr,اللّهُـمَّ إِنِّـي أسْـأَلُـكَ العَـفْوَ وَالعـافِـيةَ في الدُّنْـيا وَالآخِـرَة ، اللّهُـمَّ إِنِّـي أسْـأَلُـكَ العَـفْوَ وَالعـافِـيةَ في ديني وَدُنْـيايَ وَأهْـلي وَمالـي ، اللّهُـمَّ اسْتُـرْ عـوْراتي وَآمِـنْ رَوْعاتـي ، اللّهُـمَّ احْفَظْـني مِن بَـينِ يَدَيَّ وَمِن خَلْفـي وَعَن يَمـيني وَعَن شِمـالي ، وَمِن فَوْقـي ، وَأَعـوذُ بِعَظَمَـتِكَ أَن أُغْـتالَ مِن تَحْتـي.,"O Allah, I ask You for pardon and well-being in this life and the next. O Allah, I ask You for pardon and well-being in my religious and worldly affairs, and my family and my wealth. O Allah, veil my weaknesses and set at ease my dismay, and preserve me from the front and from behind and on my right and on my left and from above, and I take refuge with You lest I be swallowed up by the earth.","Allahumma innee as-aalukal aaf’wa wal-aa’fiyah;
Fid-dunya wal-akhirah;
Allahumma innee as’alukal aa’fwa wal-aa’fiyah;
Fee dee’nee wa’dunya-ya;
Wa’ahlee wama-lee;
Allah hummas-tur aaw-ra’tee;
Wa aa’mir raw-aa’tee;
Wah fiz’nee min bai’nee ya-dai’yaa;
Wa-min khal’fee;
Wa’aai ya’mee-nee;
Wa’aai shee’malee,
Wa-min faw’qee;
Wa’aa-oozubi aa’zaa-matika aan oogh-tala min tahtee.",1,"لَمْ يَكُنْ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَدَعُ هَؤُلَاءِ الْكَلِمَاتِ حِينَ يُمْسِي وَحِينَ يُصْبِحُ
",God’s messenger never failed to use these words evening and morning," 
صحيح ابن ماجه
أبو داوود ","Sahih Ibn Majah 
Abu Dawud.
 Hisn al-Muslim"
أذكار المساء,Evining Zikr,أذكار المساء,Evining Zikr,يَا حَيُّ يَا قيُّومُ بِرَحْمَتِكَ أسْتَغِيثُ أصْلِحْ لِي شَأنِي كُلَّهُ وَلاَ تَكِلْنِي إلَى نَفْسِي طَـرْفَةَ عَيْنٍ.,"O Ever Living, O self-subsisting and supporter of all, by Your mercy I seek assistance, rectify for me all of my affairs and do not leave me to myself, even for the blink of an eye.","Ya hayyu ya qay’yum;
Bi-rah’matika asta’gis;
As’lih li sha’ni kullah;
Wa’la takil’ni ila nafsi tarfata ayn.",1,"كان رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِذَا كَرَبَهُ أَمْرٌ يقول هذا الدعاء
",When anything caused God’s messenger anxiety he would say,"
رواه ابن السني في عمل اليوم والليلة، وحسَّنه الألباني.

",Tirmidhi transmitted it
أذكار المساء,Evining Zikr,أذكار المساء,Evining Zikr,اللّهُـمَّ عالِـمَ الغَـيْبِ وَالشّـهادَةِ فاطِـرَ السّماواتِ وَالأرْضِ رَبَّ كـلِّ شَـيءٍ وَمَليـكَه ، أَشْهَـدُ أَنْ لا إِلـهَ إِلاّ أَنْت ، أَعـوذُ بِكَ مِن شَـرِّ نَفْسـي وَمِن شَـرِّ الشَّيْـطانِ وَشِرْكِهِ.,"O Allah, knower of the unseen and the seen, creator of the heavens and the earth, Lord and sovereign of all things, I bear witness that none has the right to be worshipped except You. I take refuge in You from the evil of my soul and from the evil and shirk of the devil.","Allahumma aa’limal-ghaybi wash-shahadah;
Fati’ras samawati wal’ard;
Rabba kulli shay’in wa’ma leekah;
Ash’hadu al’laa ilaha illa anth;
Aa’ozu-bika min shar’ri nafsee;
Wa’min shar’rish shay’tani wa-shirki;
",1," ,كان النبي صلى الله عليه وسلم يعلمها أصحابه.إذا أصبحوا وإذا أمسوا وإذا اتخذوا مضاجعهم.



 .evening, and when going to their beds
", ﷺ The Prophet  taught his companions to say this Dua in the morning and in the," 
 أبو داوود 
الألباني ""","""Abu Dawud 
Al-Albani"
أذكار المساء,Evining Zikr,أذكار المساء,Evining Zikr,أَعـوذُ بِكَلِمـاتِ اللّهِ التّـامّـاتِ مِنْ شَـرِّ ما خَلَـق.,I seek protection in the perfect words of Allah from every evil that He has created.,Aa’oozu-bi kalima-tillah heet-taam’mati min sharri ma khalaq.,3,"مَنْ نَزَلَ مَنْزِلًا فَقَالها لَمْ يَضُرَّهُ شَيْءٌ حَتَّى يرحل من منزله ذَلِك
 ","if anyone says it when he alights somewhere, no evil will befall him till he departs from that alighting place of his.",مسلم,Muslim 
أذكار المساء,Evining Zikr,أذكار المساء,Evining Zikr,اللَّهُمَّ صَلِّ وَسَلِّمْ وَبَارِكْ على نَبِيِّنَا مُحمَّد.,"O Allah, we ask for your peace and blessings upon our Prophet Muhammad.",Allāhumma ṣalli wa sallim `alā nabiyyinā Muḥammad.,10,"
قَالَ النَّبِيُّ صلى الله عليه وسلم: (مَنْ صَلَّى عَلَيَّ صَلاَةً صَلَّى اللَّهُ عَلَيْهِ بِهَا عَشْر)","Whoever prays for Allah's blessings upon me once, will be blessed for it by Allah ten times","
حصن المسلم",Hisn al-Muslim
أذكار المساء,Evining Zikr,أذكار المساء,Evining Zikr,اللَّهُمَّ إِنَّا نَعُوذُ بِكَ مِنْ أَنْ نُشْرِكَ بِكَ شَيْئًا نَعْلَمُهُ ، وَنَسْتَغْفِرُكَ لِمَا لَا نَعْلَمُهُ.,"O Allah, I take refuge in You lest I should commit shirk with You knowingly and I seek Your forgiveness for what I do unknowingly.","Allahumma inni a’oozu-bika min aan ush’rika bika shai’an aa’lam;
Wa aas’tagfiruka le ma la a’alam.",1,"من قالها ذهب عنه الشرك بالله كثيره وقليله 
"," Whoever says, it will eliminate minor or major polytheismaway from him.",الألباني,Al-Albani
أذكار المساء,Evining Zikr,أذكار المساء,Evining Zikr,أسْتَغْفِرُ اللهَ العَظِيمَ الَّذِي لاَ إلَهَ إلاَّ هُوَ، الحَيُّ القَيُّومُ، وَأتُوبُ إلَيهِ.,"I seek the forgiveness of Allah the Mighty, Whom there is none worthy of worship except Him, the Living, the Eternal,
and I repent to Him,","Astaghfirullāha ‘l-'Aẓīm
alladhi lā ilāha illā huwa ‘l-ḥayyul-Qayyūm
wa atūbu ilayh.",1,"من قالهاغَفَرَ اللَّهُ لَهُ وَإِنْ كَانَ فَرَّ مِنَ الزَّحْفِ.
","Whoever says it, Allah will forgive him even if he has deserted the army's ranks."," أبو داوود 
الترمذي","Abu Dawud 
 At-Tirmidhi"
أذكار المساء,Evining Zikr,أذكار المساء,Evining Zikr,يَا رَبِّ، لَكَ الْحَمْدُ كَمَا يَنْبَغِي لِجَلَالِ وَجْهِكَ، وَلِعَظِيمِ سُلْطَانِكَ.,"O my Lord, all praises be to You as it should be due to Your Might and the Greatness of Your Power.",Ya Rabbi lakal hamdu kama yam-baghi’li jalali waj’hika wa’azimi sultanik.,1,"يقول اللَّهُ عَزَّ وَجَلَّ لَلملائكة اكْتُبَاهَا كَمَا قَالَ عَبْدِي حَتَّى يَلْقَانِي فَأَجْزِيَهُ بِهَا
"," Allah says to the Angles 'Write it down as My slave said it, until he meets Me and I shall reward him for it.""","
سنن ابن ماجه",Sunan Ibn Majah
أذكار المساء,Evining Zikr,أذكار المساء,Evining Zikr,لَا إلَه إلّا اللهُ وَحْدَهُ لَا شَرِيكَ لَهُ، لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ وَهُوَ عَلَى كُلِّ شَيْءِ قَدِيرِ.,"There is none worthy of worship but Allah alone, Who has no partner,
His is the dominion and to Him belongs all praise,
and He is able to do all things.
","Lā 'ilāha 'illallāhu waḥdahu la sharīka lahu,
lahul-mulku wa lahul-ḥamdu,
wa huwa 'alā kulli shay'in qadīr
",100,"كانت له عدل عشر رقاب، وكتبت له مئة حسنة، ومحيت عنه مئة سيئة، وكانت له حرزا من الشيطان حتى يمسي، ولم يأتِ أحد بأفضل مما جاء به إلا رجل عمل أكثر منه‏ 
",Whoever recites this will have the reward of freeing ten slaves. One hundred Hasanaat (rewards) will be written for him and one hundred misdeeds will be washed away. He will be shielded from Satan until the evening. No one will be able to present anything better than this except for someone who has recited more than this,"
البخاري 
مسلم","Al-Bukhari 
 Muslim"
أذكار المساء,Evining Zikr,أذكار المساء,Evining Zikr,سُبْحـانَ اللهِ وَبِحَمْـدِهِ.,How perfect Allah is; and I praise Him.,"SubhanAllahi wa-bihamdih;
",100,"مَنْ قَالَها حُطَّتْ خَطَايَاهُ, وَإِنْ كَانَتْ مِثْلَ زَبَدِ اَلْبَحْرِ
","Whoever says it,  his sins will be forgiven though they may be as much as the foam of the sea""",البخاري ,"Al-Bukhari 
 "
,,,,,,,,,,,
أذكار الصلاة وما يتعلق فيها ,Prayers Related ,أذكار استفتاح الصلاة بين التكبير والقراءة,Duaa at prayer begining ,سُبْحَانَكَ اللَّهُمَّ وَبِحَمْدِكَ وَتَبَارَكَ اسْمُكَ وَتَعَالَى جَدُّكَ وَلَا إِلَهَ غَيْرُكَ,"Subhanakallahumma, wa bihamdika tabarakasmuka wa ta'ala jadduka wa la ilaha ghairuk","Glory be to Thee, O God, and with praise of Thee do I begin my worship. Blessed is Thy name, exalted is Thy majesty, and there is no god but Thee",1," كانَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِذْ افْتَتَحَ الصَّلَاةَ قَالَ هذا الذكر .
",When Allah’s Messenger began to pray he said this Zikr,"  أبو داوود 
الترمذي
سنن ابن ماجه","Abu Dawud 
At-Tirmidhi
sunan Ibn Majah"
أذكار الصلاة وما يتعلق فيها ,Prayers Related ,أذكار استفتاح الصلاة بين التكبير والقراءة,Duaa at prayer begining ,وجهت وجهي للذي فطر السماوات والأرض حنيفاً وما أنا من المشركين، إن صلاتي ونسكي ومحياي ومماتي لله رب العالمين، لا شريك له وبذلك أمرت وأنا من المسلمين,,,1,,,مسلم ,"
 Muslim"
أذكار الصلاة وما يتعلق فيها ,Prayers Related ,أذكار استفتاح الصلاة بين التكبير والقراءة,Duaa at prayer begining ,"اللّهُـمَّ باعِـدْ بَيـني وَبَيْنَ خَطـايايَ
كَما باعَدْتَ بَيْنَ المَشْرِقِ وَالمَغْرِبْ ،
اللّهُـمَّ نَقِّنـي مِنْ خَطايايَ
كَمـا يُـنَقَّى الثَّـوْبُ الأَبْيَضُ مِنَ الدَّنَسْ ،
اللّهُـمَّ اغْسِلْنـي مِنْ خَطايـايَ
بِالثَّلـجِ وَالمـاءِ وَالْبَرَدْ.
","O Allah, separate me from my sins
as You have separated the East from the West.
O Allah, cleanse me of my transgressions
as the white garment is cleansed of stains.
O Allah, wash away my sins
with ice and water and frost.","Allāhumma bā'id baynī wa bayna khatāyāya
kamā bāa'adta bayn al-mashriqi wal-maghribi,
Allāhumma naqqinī min khatāyāya
kamā yunaqqa 'th-thawbu 'l-'abyaḍu min ad-danasi,
Allāhumma 'ghsilnī min khatāyāya,
bi 'th-thalji wal-mā'i wal-barad.",1,"كانَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يسكت بَين التَّكْبِير وَبَين الْقِرَاءَة ويقول هذا الدعاء
","Allah’s Messenger used to observe a period of silence between the Takbir and the  recitation of the Quran, to say this Dua","البخاري 
مسلم","Al-Bukhari 
 Muslim"
,,,,,,,,,,,
أذكار الصلاة وما يتعلق فيها ,Prayers Related ,أذكار استفتاح صلاة قيام الليل,Duaa at night prayer begining ,اللَّهُمَّ رَبَّ جِبْرَائِيلَ وَمِيكَائِيلَ وَإِسْرَافِيلَ فَاطِرَ السَّمَوَاتِ وَالأَرْضِ عَالِمَ الْغَيْبِ وَالشَّهَادَةِ أَنْتَ تَحْكُمُ بَيْنَ عِبَادِكَ فِيمَا كَانُوا فِيهِ يَخْتَلِفُونَ اهْدِنِي لِمَا اخْتُلِفَ فِيهِ مِنَ الْحَقِّ بِإِذْنِكَ إِنَّكَ تَهْدِي مَنْ تَشَاءُ إِلَى صِرَاطٍ مُسْتَقِيمٍ,"O Allah, Lord of Gabriel, and Michael, and Israfil, the Creator of the heavens and the earth, Who knowest the unseen and the seen; Thou decidest amongst Thy servants concerning their differences. Guide me with Thy permission in the divergent views (which the people) hold about Truth, for it is Thou Who guidest whom Thou wilt to the Straight Path","Allāhumma, rabba Jibrā'īla, wa Mīkā'īla, wa Isrāfīla
Fāṭira 's-samāwāti wa 'l-arḍi, `
ālima 'l-ghaybi wa 'sh-shahādati,
anta taḥkumu bayna `ibādika fīmā kānū fīhi yakhtalifūna.
Ihdinī li makhtulifa fīhi min al-ḥaqqi bi idhnika.
Innaka tahdī man tashā'u ilā ṣirāṭin mustaqīm.",1,"كانَ نَبِيُّ اللَّهِ صلى الله عليه وسلم يَفْتَتِحُ صَلاَتَهُ  
إِذَا قَامَ مِنَ اللَّيْلِ بهذا الدعاء
",When Allah’s Messenger got up at night he would commence his prayer with these words.,"
صحيح مسلم","
 Muslim"
,,,,,,,,,,,
أذكار الصلاة وما يتعلق فيها ,Prayers Related ,الذَّهَابِ إلَى المَسْجِدِ,When going to Masjid,اللَّهُمَّ اجْعَلْ فِي قَلْبِي نُورًا وَفِي لِسَانِي نُورًا، وَاجْعَلْ فِي سَمْعِي نُورًا، وَاجْعَلْ فِي بَصَرِي نُورًا، وَاجْعَلْ مِنْ خَلْفِي نُورًا، وَمِنْ أَمَامِي نُورًا، وَاجْعَلْ مِنْ فَوْقِي نُورًا، وَمِنْ تَحْتِي نُورًا، اللَّهُمَّ أَعْطِنِي نُورًا,"O Allah! place light in my heart, light in my tongue, place light in my hearing, place light in my eyesight, place light behind me, and light in front of me, and place light above me, and light below me. O Allah! grant me light.","Allāhummaj'al fī qalbī nūran,
wa fī lisānī nūran,
waaj'al fi sam`ī nūran,
waaj'al fī baṣarī nūran,
waaj'al min khalfī nūran
wa min 'amāmī nūran,
waaj'al fawqī nūran,
wa min taḥtī nūran,
Allāhumma 'a`tinī nūran,
",1,"ورد عن النبي صلى الله عليه وسلم أنه خَرَجَ إِلَى الصَّلاَةِ وَهُوَ يَقُولُ هذا الدعاء
",It was mentioned that Allah's  Messenger went out for prayer  and was saying this Dua,"
البخاري ""","Al-Bukhari 
 "
أذكار الصلاة وما يتعلق فيها ,Prayers Related ,دُعَاءُ دُخُولِ المَسْجِدِ,Duaa when entering Masjid , اللّهُـمَّ افْتَـحْ لي أَبْوابَ رَحْمَتـِك.,"O Allah, open before me the doors of Your mercy.
",Allāhummaftaḥ lī 'abwāba raḥmatik,1,"قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ: "" إِذَا دَخَلَ أَحَدُكُمُ الْمَسْجِدَ فَلْيَقُلِ: اللَّهُمَّ افْتَحْ لِي أَبْوَابَ رَحْمَتِكَ. وَإِذَا خَرَجَ فَلْيَقُلِ: الله إِنِّي أَسأَلك من فضلك",,"
مسلم","
 Muslim"
أذكار الصلاة وما يتعلق فيها ,Prayers Related ,دُعَاءُ الخُرُوجِ مِنَ المَسْجِدِ,Duaa when Exiting Masjid ,اللَّهُمَّ إنِّي أَسْأَلُكَ مِنْ فَضْلِكَ,"O Allah, I ask for Your favor,","Allāhumma 'innī 'as'aluka min faḍlika,
",1,"قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ: "" إِذَا دَخَلَ أَحَدُكُمُ الْمَسْجِدَ فَلْيَقُلِ: اللَّهُمَّ افْتَحْ لِي أَبْوَابَ رَحْمَتِكَ. وَإِذَا خَرَجَ فَلْيَقُلِ: الله إِنِّي أَسأَلك من فضلك",,"
مسلم","
 Muslim"
,,,,,,,,,,,
أذكار الصلاة وما يتعلق فيها ,Prayers Related ,ما يقال عند سماع الأذان,Duaa when hear Azan,اللّهُـمَّ رَبَّ هَذِهِ الدّعْـوَةِ التّـامَّة وَالصّلاةِ القَـائِمَة آتِ محَـمَّداً الوَسيـلةَ وَالْفَضـيلَة وَابْعَـثْه مَقـامـاً مَحـموداً الَّذي وَعَـدْتَه,"O Allah , Lord of this perfect call
and established prayer.
Grant Muhammad the intercession and favor,
and raise him to the honored station You have promised him","Allāhumma rabba hādhihi 'd-da'wati 't-tāmmah
waṣ-ṣalāti 'l-qā'imah,
'āti Muhammadani 'l-wasīlata walfaḍīlata,
wab 'ath-hu maqāma 'm-mahmūdani 'l-ladhī wa`adtahu,",1,"من قالها حَلَّتْ لَهُ الشَّفاعَةُ. (شفاعة النبي يوم القيامة)

",it becomes incumbent upon Allah's Messanger to intercede for him on the Day of Resurrection.,"
مسلم","
 Muslim"
أذكار الصلاة وما يتعلق فيها ,Prayers Related ,ما يقال عند سماع الأذان,Duaa when hear Azan,أَشْهَد أَنْ لا إِله إِلاَّ اللَّه وحْدهُ لا شَريك لهُ ، وَأَنَّ مُحمَّداً عبْدُهُ وَرسُولُهُ ، رضِيتُ بِاللَّهِ ربًّا ، وبمُحَمَّدٍ رَسُولاً ، وبالإِسْلامِ دِينًا. ,"I testify that there is no true god except Allah Alone; He has no partners and that Muhammad (ﷺ) is His slave and Messenger; I am content with Allah as my Rubb, with Muhammad as my Messenger and with Islam as my Deen","Ash-hadu an la ilaha illallah Wah-dahu la sharika Lahu; wa ash-hadu anna Muhammadan 'abduhu wa Rasuluhu, radhitu Billahi Rabban, wa bi Muhammadin Rasulan, wa bil Islami Dinan",1,"من قالها غُفِر لَهُ ذَنْبُهُ.
","Whoever says it his sins will be forgiven.
","
مسلم","
 Muslim"
,,,,,,,,,,,
أذكار الصلاة وما يتعلق فيها ,Prayers Related ,الذكر قبل الوضوء أو الغسل,Duaa before perform ablution,بِسْمِ ٱللّٰهِ,In the name of Allah,"Bismillahir-Rahmanir-Rahim,",1,"لَا يصح الوضوء إلا به   
قَالَ رَسُولُ اللَّهِ صلى الله عليه وسلم ‏ ""‏ لاَ صَلاَةَ لِمَنْ لاَ وُضُوءَ لَهُ وَلاَ وُضُوءَ لِمَنْ لَمْ يَذْكُرِ اسْمَ اللَّهِ تَعَالَى عَلَيْهِ ‏""‏ ‏.‏
",".The prayer without this zikr is not valid
 The Messenger of Allah (ﷺ) said: The prayer of a person who does not perform ablution is not valid, and the ablution of a person who does not mention the name of Allah (in the beginning) is not valid.","  أبو داوود 
الألباني ",Al Tarmithi
أذكار الصلاة وما يتعلق فيها ,Prayers Related ,الذكر بعد الوضوء أو الغسل,Duaa after perform ablution ,أشهد أن لا إله إلا الله وحده لا شريك له، وأشهد أن محمدًا عبده ورسوله، اللهم اجعلني من التوابين واجعلني من المتطهرين,"I testify that there so no true god except Allah Alone, Who has no partners and that Muhammad ((ﷺ) is His slave and Messenger.
O Allah make me among those who repent and purify themselves.","Ash-hadu an la ilaha illallahu Wahdahu la sharika Lahu, wa ash-hadu anna Muhammadan 'abduhu wa Rasuluhu. Allahummaj-'alni minat-tawwabina, waj-'alni minal-mutatahhirin",1,"فتحت له أبواب الجنة الثمانية يدخل من أيها شاء
",the eight gates of Jannah are opened for him. He may enter through whichever of these gates he desires (to enter),"مسلم
الترمذي","
 Muslim
Al Tirmithi"
أذكار الصلاة وما يتعلق فيها ,Prayers Related ,كيفية الغسل من الجنابة ,How Messenger (ﷺ) bathed ,عَنْ عَائِشَةَ رضي الله عنها، قَالَتْ: كَانَ رَسُولُ اللّهِ صلى الله عليه وسلم إِذَا اغْتَسَلَ مِنَ الْجَنَابَةِ، يَبْدَأُ فَيَغْسِلُ يَدَيْهِ، ثُمَّ يُفْرِغُ بِيَمِينِهِ عَلَى شِمَالِهِ، فَيَغْسِلُ فَرْجَهُ، ثُمَّ يتَوَضَّأُ وُضوءَه لِلصَّلاَةِ، ثُمَّ يَأْخُذُ الْمَاءَ، فَيُدْخِلُ أَصَابِعَهُ فِي أُصُوْلِ الشَّعَرِ، حَتَّى إِذَا رَأَى أَن قد اسْتَبْرَأَ (أي أوصل البلل إلى جميع الرأس)، حَفَنَ عَلَى رَأْسِهِ ثَلاَثَ حَفَنَاتٍ، ثُمَّ أَفَاضَ عَلَى سَائِرِ جَسَدِهِ، ثُمَّ غَسَلَ رِجْلَيْهِ.,"When Allah's Messenger (ﷺ) bathed because of sexual intercourse, he first washed his hands: he then poured water with his right hand on his left hand and washed his private parts. He then performed ablution as is done for prayer'. He then took some water and put his fingers and moved them through the roots of his hair. And when he found that these had been properly mois- tened, then poured three handfuls on his head and then poured water over his body and subsequently washed his feet.",,1,,Sahih Muslim,صحيح مسلم,"
 Muslim"
,,,,,,,,,,,
أذكار الصلاة وما يتعلق فيها ,Prayers Related ,أذكار بعد الصلاة المفروضة,Zikr after every prayer ,"أَسْـتَغْفِرُ الله، أَسْـتَغْفِرُ الله، أَسْـتَغْفِرُ الله.
اللّهُـمَّ أَنْـتَ السَّلامُ ، وَمِـنْكَ السَّلام ، تَبارَكْتَ يا ذا الجَـلالِ وَالإِكْـرام.","I seek the forgiveness of Allah (three times).
O Allah, You are Peace and from You comes peace.
Blessed are You, O Owner of majesty and honor.","Astaghfirullāh
(three times)
Allāhumma antas-salām,
wa minkas-salām,
tabārakta yā dhal-Jalāli wal-'Ikrām.",1, عنْ ثوبانَ رضي اللَّه عنْهُ أن رَسُولُ اللَّهِ صَلّى اللهُ عَلَيْهِ وسَلَّم إذا انْصَرَف مِنْ صلاتِهِ اسْتَغفَر ثَلاثاً، وقال هذا الدعاء," Thauban (May Allah be pleased with him) reported that whenever the Messenger of Allah (ﷺ) concluded his prayer, he would beg forgiveness from Allah thrice  and then would recite this Dua","رواهُ مسلم 
 ","Hisn al-Muslim
"
أذكار الصلاة وما يتعلق فيها ,Prayers Related ,أذكار بعد الصلاة المفروضة,Zikr after every prayer ,لا إلهَ إلاّ اللّهُ وحدَهُ لا شريكَ لهُ، لهُ المُـلْكُ ولهُ الحَمْد، وهوَ على كلّ شَيءٍ قَدير، اللّهُـمَّ لا مانِعَ لِما أَعْطَـيْت، وَلا مُعْطِـيَ لِما مَنَـعْت، وَلا يَنْفَـعُ ذا الجَـدِّ مِنْـكَ الجَـد.,"None has the right to be worshipped but Allah alone,
He has no partner,
His is the dominion and His is the praise,
and He is Able to do all things.
O Allah, there is none who can withhold what You give,
and none may give what You have withheld,
and the might of the mighty person cannot benefit him against You.","Lā 'ilāha 'illallāh,
waḥdahu lā sharīka lah,
lahu ‘l-mulku wa lahu ‘l-ḥamd,
wa huwa `alā kulli shay'in qadīr,
Allāhumma lā māni`a limā 'a`tayt,
wa lā mu`tiya limā mana`t,
wa lā yanfa`u dhal-jaddi minkal-jadd.",1,"عَن المُغِيرةِ بن شُعْبةَ رضي اللَّه عَنْهُ أنَّ رَسُول اللَّه صَلّى اللهُ عَلَيْهِ وسَلَّم كَان إذا فَرغَ مِنَ الصَّلاة وسلَّم قالَها

",Al-Mughira bin Shu'bah (RA) said that The Prophet (ﷺ) used to say after every obligatory prayer,"البخاري 
مسلم","Al-Bukhari
 Muslim"
